	#chr	start	end	gene_id	h2g	n_causal
79	chr1	1671989	1671990	ENSG00000269737.2	0.01	5
80	chr1	1692727	1692728	ENSG00000189339.11	0.01	4
81	chr1	1699941	1699942	ENSG00000215914.4	0.0	0
82	chr1	1724356	1724357	ENSG00000008128.23	0.0	0
83	chr1	1724511	1724512	ENSG00000227775.3	0.02	5
84	chr1	1745998	1745999	ENSG00000215790.7	0.0	0
85	chr1	1780456	1780457	ENSG00000008130.15	0.01	5
86	chr1	1891116	1891117	ENSG00000078369.18	0.0	0
87	chr1	1891470	1891471	ENSG00000231050.1	0.15000000000000002	1
88	chr1	1915107	1915108	ENSG00000169885.10	0.0	0
89	chr1	1919278	1919279	ENSG00000178821.13	0.02	3
90	chr1	2019328	2019329	ENSG00000187730.9	0.05	5
91	chr1	2050410	2050411	ENSG00000067606.17	0.0	0
92	chr1	2145278	2145279	ENSG00000271806.1	0.0	0
93	chr1	2184388	2184389	ENSG00000182873.5	0.03	2
94	chr1	2212719	2212720	ENSG00000162585.17	0.0	0
95	chr1	2228318	2228319	ENSG00000157933.10	0.24000000000000002	2
96	chr1	2352819	2352820	ENSG00000269896.2	0.14	2
97	chr1	2363627	2363628	ENSG00000272420.1	0.0	0
98	chr1	2391706	2391707	ENSG00000116151.14	0.0	0
99	chr1	2391774	2391775	ENSG00000157916.20	0.0	0
100	chr1	2413796	2413797	ENSG00000157911.10	0.01	1
101	chr1	2425979	2425980	ENSG00000149527.18	0.0	0
102	chr1	2526627	2526628	ENSG00000157881.14	0.01	2
103	chr1	2530063	2530064	ENSG00000272449.2	0.04	2
104	chr1	2555638	2555639	ENSG00000157873.17	0.0	0
105	chr1	2557030	2557031	ENSG00000238164.6	0.01	2
106	chr1	2566409	2566410	ENSG00000225931.3	0.02	1
107	chr1	2581559	2581560	ENSG00000228037.1	0.0	0
108	chr1	2586490	2586491	ENSG00000157870.16	0.01	5
109	chr1	2633015	2633016	ENSG00000142606.16	0.01	4
110	chr1	2801716	2801717	ENSG00000215912.12	0.03	1
111	chr1	3611507	3611508	ENSG00000162591.16	0.24000000000000002	5
112	chr1	3624742	3624743	ENSG00000238260.1	0.31	4
113	chr1	3625014	3625015	ENSG00000158109.15	0.01	4
114	chr1	3652515	3652516	ENSG00000078900.15	0.01	2
115	chr1	3652760	3652761	ENSG00000116213.16	0.01	1
116	chr1	3747372	3747373	ENSG00000227372.12	0.05	2
117	chr1	3772760	3772761	ENSG00000235169.8	0.01	3
118	chr1	3785007	3785008	ENSG00000272153.1	0.27	2
119	chr1	3796497	3796498	ENSG00000130764.10	0.03	1
120	chr1	3857213	3857214	ENSG00000116198.13	0.0	0
121	chr1	3857266	3857267	ENSG00000169598.15	0.6	3
122	chr1	3900271	3900272	ENSG00000198912.11	0.01	3
123	chr1	3900371	3900372	ENSG00000236423.5	0.060000000000000005	3
124	chr1	5991465	5991466	ENSG00000069424.14	0.0	0
125	chr1	5992472	5992473	ENSG00000131697.18	0.0	0
126	chr1	6180320	6180321	ENSG00000116254.18	0.0	0
127	chr1	6206118	6206119	ENSG00000158286.13	0.0	0
128	chr1	6209388	6209389	ENSG00000116251.11	0.2	5
129	chr1	6235971	6235972	ENSG00000116237.16	0.01	2
130	chr1	6261097	6261098	ENSG00000158292.7	0.0	0
131	chr1	6393554	6393555	ENSG00000271746.1	0.0	0
132	chr1	6394390	6394391	ENSG00000097021.19	0.03	4
133	chr1	6424775	6424776	ENSG00000187017.16	0.41000000000000003	4
134	chr1	6466194	6466195	ENSG00000215788.10	0.06999999999999999	3
135	chr1	6520060	6520061	ENSG00000171680.21	0.04	4
136	chr1	6554512	6554513	ENSG00000162408.11	0.15000000000000002	5
137	chr1	6555306	6555307	ENSG00000173662.21	0.04	3
138	chr1	6579993	6579994	ENSG00000204859.13	0.0	0
139	chr1	6613730	6613731	ENSG00000116273.6	0.01	1
140	chr1	6614606	6614607	ENSG00000162413.16	0.0	0
141	chr1	6624865	6624866	ENSG00000041988.15	0.02	2
142	chr1	6701923	6701924	ENSG00000007923.16	0.0	0
143	chr1	6785453	6785454	ENSG00000171735.19	0.0	0
144	chr1	7771295	7771296	ENSG00000049245.13	0.02	1
145	chr1	7776382	7776383	ENSG00000269925.1	0.02	3
146	chr1	7784319	7784320	ENSG00000049246.14	0.01	4
147	chr1	7827341	7827342	ENSG00000236266.1	0.0	0
148	chr1	7853511	7853512	ENSG00000049247.13	0.02	3
149	chr1	7943164	7943165	ENSG00000049249.8	0.02	2
150	chr1	7954290	7954291	ENSG00000116288.13	0.62	2
151	chr1	7991133	7991134	ENSG00000284747.1	0.02	1
152	chr1	8026308	8026309	ENSG00000116285.13	0.0	0
153	chr1	8317825	8317826	ENSG00000162426.14	0.0	0
154	chr1	8424644	8424645	ENSG00000232912.5	0.27	3
155	chr1	8817639	8817640	ENSG00000142599.18	0.65	4
156	chr1	8878834	8878835	ENSG00000230679.1	0.01	2
157	chr1	8879249	8879250	ENSG00000074800.15	0.16	4
158	chr1	8907743	8907744	ENSG00000232208.2	0.27	1
159	chr1	8945866	8945867	ENSG00000131686.15	0.01	5
160	chr1	9088477	9088478	ENSG00000142583.17	0.0	0
161	chr1	9129101	9129102	ENSG00000180758.12	0.03	1
162	chr1	9234774	9234775	ENSG00000049239.12	0.0	0
163	chr1	9292893	9292894	ENSG00000171621.14	0.03	5
164	chr1	9539464	9539465	ENSG00000171612.7	0.0	0
165	chr1	9576426	9576427	ENSG00000231181.1	0.09999999999999999	4
166	chr1	9588910	9588911	ENSG00000188807.13	0.0	0
167	chr1	9651731	9651732	ENSG00000171608.15	0.01	5
168	chr1	9654585	9654586	ENSG00000179840.5	0.0	0
169	chr1	9687554	9687555	ENSG00000231789.2	0.0	0
170	chr1	9824525	9824526	ENSG00000171603.17	0.09	4
171	chr1	9910335	9910336	ENSG00000178585.15	0.0	0
172	chr1	9943406	9943407	ENSG00000162441.12	0.0	0
173	chr1	9943427	9943428	ENSG00000173614.14	0.13	5
174	chr1	9997205	9997206	ENSG00000162444.12	0.02	5
175	chr1	10032831	10032832	ENSG00000130939.19	0.0	0
176	chr1	10210804	10210805	ENSG00000054523.17	0.01	3
177	chr1	10306464	10306465	ENSG00000264501.2	0.09999999999999999	5
178	chr1	10387149	10387150	ENSG00000284735.1	0.0	0
179	chr1	10395415	10395416	ENSG00000284642.1	0.01	3
180	chr1	10398591	10398592	ENSG00000142657.21	0.0	0
181	chr1	10430432	10430433	ENSG00000175279.22	0.09999999999999999	4
182	chr1	10449718	10449719	ENSG00000241563.3	0.0	0
183	chr1	10472528	10472529	ENSG00000160049.12	0.0	0
184	chr1	10474949	10474950	ENSG00000142655.13	0.01	1
185	chr1	10639240	10639241	ENSG00000272078.1	0.04	5
186	chr1	10796649	10796650	ENSG00000130940.15	0.33	5
187	chr1	10982036	10982037	ENSG00000175262.14	0.18000000000000002	4
188	chr1	11012343	11012344	ENSG00000120948.17	0.0	0
189	chr1	11029658	11029659	ENSG00000271895.2	0.04	2
190	chr1	11047232	11047233	ENSG00000009724.16	0.0	0
191	chr1	11060019	11060020	ENSG00000116649.10	0.03	1
192	chr1	11068470	11068471	ENSG00000226849.1	0.0	0
193	chr1	11099868	11099869	ENSG00000171824.14	0.01	5
194	chr1	11262506	11262507	ENSG00000198793.12	0.0	0
195	chr1	11273205	11273206	ENSG00000120942.13	0.0	0
196	chr1	11479154	11479155	ENSG00000204624.8	0.02	5
197	chr1	11654374	11654375	ENSG00000132879.14	0.01	2
198	chr1	11655784	11655785	ENSG00000116661.11	0.0	0
199	chr1	11664199	11664200	ENSG00000116663.11	0.0	0
200	chr1	11691649	11691650	ENSG00000116670.15	0.03	2
201	chr1	11691709	11691710	ENSG00000162490.7	0.0	0
202	chr1	11736083	11736084	ENSG00000177674.16	0.0	0
203	chr1	11761786	11761787	ENSG00000215910.7	0.01	3
204	chr1	11806095	11806096	ENSG00000011021.23	0.09	4
205	chr1	11806919	11806920	ENSG00000177000.12	0.01	1
206	chr1	11848344	11848345	ENSG00000175206.10	0.77	1
207	chr1	11908146	11908147	ENSG00000285646.1	0.01	3
208	chr1	11926427	11926428	ENSG00000116685.16	0.01	5
209	chr1	11934204	11934205	ENSG00000083444.17	0.0	0
210	chr1	11980180	11980181	ENSG00000116688.16	0.0	0
211	chr1	12019465	12019466	ENSG00000116691.11	0.97	4
212	chr1	12063302	12063303	ENSG00000120949.15	0.01	1
213	chr1	12166990	12166991	ENSG00000028137.19	0.8200000000000001	5
214	chr1	12230029	12230030	ENSG00000048707.15	0.02	1
215	chr1	12618209	12618210	ENSG00000162496.9	0.060000000000000005	1
216	chr1	12619243	12619244	ENSG00000272482.1	0.02	3
217	chr1	13700197	13700198	ENSG00000116731.22	0.22	1
218	chr1	13892791	13892792	ENSG00000189337.17	0.01	5
219	chr1	15152531	15152532	ENSG00000171729.14	0.0	0
220	chr1	15153236	15153237	ENSG00000175147.12	0.01	1
221	chr1	15247271	15247272	ENSG00000142621.19	0.0	0
222	chr1	15409432	15409433	ENSG00000228140.1	0.0	0
223	chr1	15409887	15409888	ENSG00000142634.13	0.04	3
224	chr1	15438438	15438439	ENSG00000162438.11	0.02	4
225	chr1	15526533	15526534	ENSG00000132906.18	0.0	0
226	chr1	15526812	15526813	ENSG00000116138.13	0.060000000000000005	2
227	chr1	15585050	15585051	ENSG00000116771.6	0.0	0
228	chr1	15603625	15603626	ENSG00000237301.1	0.01	1
229	chr1	15604596	15604597	ENSG00000235084.3	0.0	0
230	chr1	15617457	15617458	ENSG00000197312.12	0.13	4
231	chr1	15659868	15659869	ENSG00000215695.1	0.06999999999999999	2
232	chr1	15683127	15683128	ENSG00000271742.1	0.06999999999999999	4
233	chr1	15684319	15684320	ENSG00000116786.13	0.01	5
234	chr1	15736257	15736258	ENSG00000162461.8	0.01	1
235	chr1	15736895	15736896	ENSG00000237938.5	0.02	4
236	chr1	15809347	15809348	ENSG00000233954.6	0.02	1
237	chr1	15828231	15828232	ENSG00000178715.8	0.0	0
238	chr1	15847706	15847707	ENSG00000065526.11	0.02	5
239	chr1	15848146	15848147	ENSG00000179743.4	0.01	3
240	chr1	15969631	15969632	ENSG00000234607.2	0.0	0
241	chr1	15976131	15976132	ENSG00000116809.11	0.02	4
242	chr1	16156068	16156069	ENSG00000142627.13	0.19	4
243	chr1	16212651	16212652	ENSG00000142632.17	0.02	5
244	chr1	16228026	16228027	ENSG00000237276.8	0.03	1
245	chr1	16237182	16237183	ENSG00000132881.12	0.37	5
246	chr1	16241397	16241398	ENSG00000233929.1	0.060000000000000005	5
247	chr1	16352479	16352480	ENSG00000037637.11	0.0	0
248	chr1	16352574	16352575	ENSG00000055070.17	0.2	2
249	chr1	16369529	16369530	ENSG00000226457.1	0.0	0
250	chr1	16437423	16437424	ENSG00000187144.11	0.02	3
251	chr1	16440720	16440721	ENSG00000157191.20	0.19	3
252	chr1	16460947	16460948	ENSG00000226029.1	0.0	0
253	chr1	16499256	16499257	ENSG00000080947.14	0.06999999999999999	3
254	chr1	16514284	16514285	ENSG00000206652.1	0.01	2
255	chr1	16514644	16514645	ENSG00000261135.1	0.0	0
256	chr1	16613561	16613562	ENSG00000219481.10	0.0	0
257	chr1	16645621	16645622	ENSG00000186301.8	0.01	3
258	chr1	16657231	16657232	ENSG00000215908.10	0.03	1
259	chr1	16666947	16666948	ENSG00000207513.1	0.0	0
260	chr1	16740272	16740273	ENSG00000058453.17	0.0	0
261	chr1	16740515	16740516	ENSG00000207389.1	0.0	0
262	chr1	16770236	16770237	ENSG00000186715.11	0.03	2
263	chr1	16889094	16889095	ENSG00000235241.1	0.03	4
264	chr1	16889648	16889649	ENSG00000238142.1	0.24000000000000002	1
265	chr1	16895979	16895980	ENSG00000207005.1	0.04	4
266	chr1	16904775	16904776	ENSG00000272426.1	0.05	1
267	chr1	17011927	17011928	ENSG00000159363.18	0.01	2
268	chr1	17054169	17054170	ENSG00000117118.9	0.29000000000000004	5
269	chr1	17119450	17119451	ENSG00000117115.13	0.02	1
270	chr1	17308194	17308195	ENSG00000159339.13	0.02	1
271	chr1	17372195	17372196	ENSG00000276747.1	0.0	0
272	chr1	17406759	17406760	ENSG00000227751.1	0.0	0
273	chr1	17439676	17439677	ENSG00000179051.14	0.17	1
274	chr1	17539697	17539698	ENSG00000074964.17	0.0	0
275	chr1	18902723	18902724	ENSG00000159423.17	0.24000000000000002	3
276	chr1	18956675	18956676	ENSG00000169991.11	0.0	0
277	chr1	19075510	19075511	ENSG00000272084.1	0.0	0
278	chr1	19210265	19210266	ENSG00000127481.15	0.0	0
279	chr1	19210500	19210501	ENSG00000230424.1	0.0	0
280	chr1	19251524	19251525	ENSG00000127463.15	0.06999999999999999	5
281	chr1	19251804	19251805	ENSG00000053372.5	0.0	0
282	chr1	19274193	19274194	ENSG00000211454.14	0.04	3
283	chr1	19288769	19288770	ENSG00000162482.5	0.25	1
284	chr1	19312145	19312146	ENSG00000053371.12	0.0	0
285	chr1	19312325	19312326	ENSG00000040487.13	0.0	0
286	chr1	19484402	19484403	ENSG00000173436.15	0.03	3
287	chr1	19485538	19485539	ENSG00000077549.18	0.0	0
288	chr1	19596978	19596979	ENSG00000158747.14	0.0	0
289	chr1	19608113	19608114	ENSG00000226396.1	0.12	2
290	chr1	19664874	19664875	ENSG00000158748.4	0.0	0
291	chr1	19799944	19799945	ENSG00000162542.13	0.0	0
292	chr1	19882394	19882395	ENSG00000169914.6	0.01	4
293	chr1	20119565	20119566	ENSG00000117215.14	0.0	0
294	chr1	20186095	20186096	ENSG00000162543.6	0.0	0
295	chr1	20186485	20186486	ENSG00000225986.1	0.35000000000000003	5
296	chr1	20486209	20486210	ENSG00000162545.6	0.0	0
297	chr1	20508150	20508151	ENSG00000090432.7	0.0	0
298	chr1	20589085	20589086	ENSG00000158825.6	0.01	4
299	chr1	20633457	20633458	ENSG00000158828.8	0.0	0
300	chr1	20652192	20652193	ENSG00000117242.7	0.0	0
301	chr1	20661543	20661544	ENSG00000244038.9	0.0	0
302	chr1	20718016	20718017	ENSG00000117245.12	0.0	0
303	chr1	20787322	20787323	ENSG00000127483.18	0.02	4
304	chr1	21003933	21003934	ENSG00000233072.1	0.03	4
305	chr1	21176887	21176888	ENSG00000075151.20	0.01	2
306	chr1	21266081	21266082	ENSG00000236936.1	0.03	4
307	chr1	21293289	21293290	ENSG00000231105.1	0.0	0
308	chr1	21345571	21345572	ENSG00000117298.16	0.0	0
309	chr1	21440127	21440128	ENSG00000142794.18	0.47000000000000003	2
310	chr1	21509396	21509397	ENSG00000162551.14	0.0	0
311	chr1	21586471	21586472	ENSG00000233431.1	0.65	5
312	chr1	21669362	21669363	ENSG00000076864.19	0.0	0
313	chr1	21783605	21783606	ENSG00000090686.15	0.01	5
314	chr1	21812264	21812265	ENSG00000187942.11	0.01	5
315	chr1	21937309	21937310	ENSG00000142798.20	0.01	4
316	chr1	22024557	22024558	ENSG00000218510.8	0.18000000000000002	4
317	chr1	22025510	22025511	ENSG00000070831.16	0.0	0
318	chr1	22026047	22026048	ENSG00000228397.2	0.09	4
319	chr1	22030526	22030527	ENSG00000285794.1	0.01	2
320	chr1	22052926	22052927	ENSG00000285752.1	0.060000000000000005	2
321	chr1	22059196	22059197	ENSG00000230068.2	0.25	2
322	chr1	22068826	22068827	ENSG00000271428.1	0.0	0
323	chr1	22143968	22143969	ENSG00000162552.15	0.01	2
324	chr1	22428837	22428838	ENSG00000184677.18	0.0	0
325	chr1	22636627	22636628	ENSG00000173372.17	0.0	0
326	chr1	22643632	22643633	ENSG00000159189.12	0.01	3
327	chr1	22652761	22652762	ENSG00000173369.16	0.0	0
328	chr1	22710838	22710839	ENSG00000133216.16	0.01	2
329	chr1	23019442	23019443	ENSG00000004487.16	0.0	0
330	chr1	23140324	23140325	ENSG00000229010.1	0.09999999999999999	3
331	chr1	23177807	23177808	ENSG00000169641.13	0.0	0
332	chr1	23344335	23344336	ENSG00000125944.20	0.0	0
333	chr1	23368996	23368997	ENSG00000249087.6	0.05	2
334	chr1	23369835	23369836	ENSG00000125945.15	0.0	0
335	chr1	23424739	23424740	ENSG00000204219.10	0.0	0
336	chr1	23484567	23484568	ENSG00000088280.19	0.01	3
337	chr1	23531232	23531233	ENSG00000007968.7	0.0	0
338	chr1	23559500	23559501	ENSG00000117318.9	0.0	0
339	chr1	23581494	23581495	ENSG00000197880.8	0.73	4
340	chr1	23691741	23691742	ENSG00000142676.14	0.09	3
341	chr1	23743154	23743155	ENSG00000011007.12	0.0	0
342	chr1	23778286	23778287	ENSG00000236810.5	0.12	3
343	chr1	23778417	23778418	ENSG00000057757.10	0.0	0
344	chr1	23791144	23791145	ENSG00000011009.11	0.01	4
345	chr1	23800780	23800781	ENSG00000117308.15	0.01	3
346	chr1	23838619	23838620	ENSG00000117305.15	0.14	5
347	chr1	23868293	23868294	ENSG00000179163.11	0.01	2
348	chr1	23902736	23902737	ENSG00000229106.1	0.17	2
349	chr1	23913361	23913362	ENSG00000188822.8	0.060000000000000005	4
350	chr1	23956838	23956839	ENSG00000189266.13	0.02	3
351	chr1	23980926	23980927	ENSG00000188529.14	0.0	0
352	chr1	24187958	24187959	ENSG00000185436.12	0.54	1
353	chr1	24415801	24415802	ENSG00000001461.17	0.19	2
354	chr1	24416933	24416934	ENSG00000001460.18	0.01	2
355	chr1	24502350	24502351	ENSG00000117602.12	0.060000000000000005	4
356	chr1	24535399	24535400	ENSG00000286061.1	0.05	5
357	chr1	24631715	24631716	ENSG00000133226.17	0.0	0
358	chr1	24745381	24745382	ENSG00000169504.15	0.0	0
359	chr1	24961344	24961345	ENSG00000229162.1	0.01	2
360	chr1	24965120	24965121	ENSG00000020633.18	0.0	0
361	chr1	25232501	25232502	ENSG00000117614.10	0.0	0
362	chr1	25232585	25232586	ENSG00000284602.1	0.01	1
363	chr1	25239493	25239494	ENSG00000284657.1	0.060000000000000005	2
364	chr1	25247836	25247837	ENSG00000272432.1	0.060000000000000005	1
365	chr1	25267135	25267136	ENSG00000261349.1	0.0	0
366	chr1	25272438	25272439	ENSG00000187010.21	0.19	1
367	chr1	25294642	25294643	ENSG00000224183.1	0.17	3
368	chr1	25337464	25337465	ENSG00000259984.1	0.01	4
369	chr1	25338212	25338213	ENSG00000117616.18	0.05	1
370	chr1	25338316	25338317	ENSG00000183726.11	0.02	4
371	chr1	25398720	25398721	ENSG00000238084.4	0.0	0
372	chr1	25430191	25430192	ENSG00000188672.18	0.0	0
373	chr1	25430857	25430858	ENSG00000204178.11	0.0	0
374	chr1	25543579	25543580	ENSG00000157978.11	0.03	5
375	chr1	25581477	25581478	ENSG00000225643.1	0.14	4
376	chr1	25617467	25617468	ENSG00000117643.14	0.01	5
377	chr1	25659110	25659111	ENSG00000233478.1	0.0	0
378	chr1	25800175	25800176	ENSG00000162430.17	0.01	3
379	chr1	25818639	25818640	ENSG00000117640.18	0.02	4
380	chr1	25820796	25820797	ENSG00000228172.5	0.03	3
381	chr1	25832133	25832134	ENSG00000272478.1	0.09999999999999999	3
382	chr1	25859457	25859458	ENSG00000127423.10	0.04	2
383	chr1	25859612	25859613	ENSG00000236528.1	0.0	0
384	chr1	25871252	25871253	ENSG00000182749.5	0.06999999999999999	5
385	chr1	25906990	25906991	ENSG00000117632.23	0.01	5
386	chr1	25998116	25998117	ENSG00000158006.14	0.02	2
387	chr1	26111164	26111165	ENSG00000175087.10	0.01	2
388	chr1	26169907	26169908	ENSG00000142684.9	0.0	0
389	chr1	26171830	26171831	ENSG00000236782.7	0.43	1
390	chr1	26177483	26177484	ENSG00000142675.18	0.060000000000000005	2
391	chr1	26234199	26234200	ENSG00000130695.15	0.05	5
392	chr1	26280085	26280086	ENSG00000142669.15	0.0	0
393	chr1	26317957	26317958	ENSG00000169442.9	0.01	2
394	chr1	26318362	26318363	ENSG00000158062.20	0.0	0
395	chr1	26360079	26360080	ENSG00000176092.15	0.09999999999999999	2
396	chr1	26374521	26374522	ENSG00000176083.17	0.01	3
397	chr1	26432281	26432282	ENSG00000117682.17	0.65	3
398	chr1	26472439	26472440	ENSG00000198830.11	0.060000000000000005	2
399	chr1	26529760	26529761	ENSG00000117676.14	0.0	0
400	chr1	26693235	26693236	ENSG00000117713.20	0.01	5
401	chr1	26694130	26694131	ENSG00000260063.1	0.0	0
402	chr1	26787471	26787472	ENSG00000060642.10	0.12	3
403	chr1	26826687	26826688	ENSG00000204160.12	0.0	0
404	chr1	26863148	26863149	ENSG00000175793.12	0.15000000000000002	1
405	chr1	26890282	26890283	ENSG00000142751.15	0.0	0
406	chr1	26900237	26900238	ENSG00000090273.14	0.13	2
407	chr1	26900466	26900467	ENSG00000198746.13	0.01	3
408	chr1	26960467	26960468	ENSG00000175707.9	0.0	0
409	chr1	26993691	26993692	ENSG00000253368.4	0.0	0
410	chr1	27012849	27012850	ENSG00000158246.8	0.0	0
411	chr1	27166980	27166981	ENSG00000090020.11	0.01	2
412	chr1	27206929	27206930	ENSG00000225159.1	0.01	4
413	chr1	27234631	27234632	ENSG00000142784.16	0.03	5
414	chr1	27322144	27322145	ENSG00000186501.14	0.04	3
415	chr1	27325328	27325329	ENSG00000241547.1	0.01	3
416	chr1	27342019	27342020	ENSG00000142765.18	0.0	0
417	chr1	27366960	27366961	ENSG00000142733.16	0.01	2
418	chr1	27383332	27383333	ENSG00000174950.11	0.01	4
419	chr1	27392621	27392622	ENSG00000181773.7	0.01	5
420	chr1	27490166	27490167	ENSG00000158195.11	0.0	0
421	chr1	27604430	27604431	ENSG00000126705.14	0.0	0
422	chr1	27635184	27635185	ENSG00000000938.13	0.05	2
423	chr1	27649418	27649419	ENSG00000235912.1	0.0	0
424	chr1	27662721	27662722	ENSG00000233975.1	0.01	1
425	chr1	27669467	27669468	ENSG00000225886.3	0.02	1
426	chr1	27672197	27672198	ENSG00000126709.15	0.0	0
427	chr1	27725978	27725979	ENSG00000009780.15	0.0	0
428	chr1	27773218	27773219	ENSG00000117758.14	0.09	1
429	chr1	27830781	27830782	ENSG00000117751.18	0.56	4
430	chr1	27872542	27872543	ENSG00000130775.16	0.02	2
431	chr1	27914745	27914746	ENSG00000117748.10	0.0	0
432	chr1	27934999	27935000	ENSG00000130768.15	0.01	5
433	chr1	27959461	27959462	ENSG00000158156.7	0.01	2
434	chr1	27990523	27990524	ENSG00000238231.2	0.0	0
435	chr1	28088636	28088637	ENSG00000158161.16	0.01	1
436	chr1	28096421	28096422	ENSG00000228589.3	0.02	5
437	chr1	28121320	28121321	ENSG00000214812.3	0.61	1
438	chr1	28193935	28193936	ENSG00000169403.12	0.01	2
439	chr1	28233028	28233029	ENSG00000126698.11	0.05	1
440	chr1	28236108	28236109	ENSG00000130770.18	0.0	0
441	chr1	28241452	28241453	ENSG00000270605.1	0.0	0
442	chr1	28247143	28247144	ENSG00000271398.1	0.02	4
443	chr1	28259517	28259518	ENSG00000130766.5	0.22	1
444	chr1	28329001	28329002	ENSG00000130772.14	0.0	0
